time,wx,wy,wz
20.458663940429688,0.12,-0.12,0.05
20.471367835998535,0.09,-0.12,0.06
20.47933292388916,0.06,-0.12,0.07
20.489815950393677,0.04,-0.12,0.08
20.500328063964844,0.02,-0.12,0.09
20.510180950164795,0.01,-0.12,0.09
20.53419589996338,0.01,-0.12,0.09
20.53532600402832,0.01,-0.11,0.07
20.539088010787964,0.01,-0.11,0.05
20.550509929656982,0.02,-0.11,0.02
20.560410022735596,0.04,-0.12,-0.01
20.570595026016235,0.05,-0.11,-0.03
20.58026885986328,0.07,-0.11,-0.06
20.590866088867188,0.08,-0.11,-0.09
20.600510120391846,0.08,-0.11,-0.11
20.61072015762329,0.08,-0.11,-0.13
20.635950088500977,0.07,-0.11,-0.16
20.637809991836548,0.05,-0.11,-0.18
20.639940977096558,0.04,-0.11,-0.21
20.65602207183838,0.02,-0.11,-0.24
20.660176038742065,0.0,-0.11,-0.27
20.67111587524414,-0.02,-0.11,-0.3
20.680863857269287,-0.04,-0.11,-0.32
20.69099712371826,-0.06,-0.11,-0.32
20.701329946517944,-0.09,-0.11,-0.32
20.71121883392334,-0.12,-0.1,-0.32
20.729475021362305,-0.15,-0.1,-0.31
20.731560945510864,-0.18,-0.1,-0.3
20.740717887878418,-0.21,-0.1,-0.29
20.750929832458496,-0.23,-0.1,-0.28
20.761037826538086,-0.25,-0.09,-0.28
20.77200984954834,-0.25,-0.1,-0.29
20.78173303604126,-0.25,-0.09,-0.3
20.79201316833496,-0.25,-0.09,-0.32
20.802562952041626,-0.23,-0.09,-0.33
20.81232213973999,-0.21,-0.09,-0.34
20.830988883972168,-0.19,-0.08,-0.34
20.83283305168152,-0.18,-0.08,-0.34
20.841704845428467,-0.17,-0.07,-0.35
20.85274887084961,-0.16,-0.08,-0.36
20.86205816268921,-0.16,-0.07,-0.38
20.872709035873413,-0.16,-0.07,-0.39
20.88250494003296,-0.17,-0.07,-0.41
20.892812967300415,-0.18,-0.07,-0.43
20.90314292907715,-0.2,-0.07,-0.45
20.913209915161133,-0.22,-0.07,-0.48
20.931977033615112,-0.25,-0.07,-0.5
20.9339439868927,-0.27,-0.07,-0.52
20.942126035690308,-0.29,-0.06,-0.52
20.952478885650635,-0.32,-0.06,-0.51
20.963478088378906,-0.34,-0.06,-0.5
20.973408937454224,-0.37,-0.06,-0.48
20.9838809967041,-0.39,-0.05,-0.47
20.993216037750244,-0.41,-0.05,-0.46
21.00373601913452,-0.42,-0.05,-0.45
21.013172149658203,-0.42,-0.05,-0.44
21.031967163085938,-0.41,-0.04,-0.43
21.034109115600586,-0.4,-0.03,-0.42
21.043106079101562,-0.38,-0.03,-0.41
21.053014039993286,-0.35,-0.03,-0.41
21.06411600112915,-0.33,-0.02,-0.4
21.073784828186035,-0.31,-0.02,-0.39
21.084298133850098,-0.29,-0.01,-0.39
21.093822956085205,-0.27,-0.01,-0.39
21.10411310195923,-0.27,-0.01,-0.39
21.129973888397217,-0.27,0.0,-0.4
21.131486892700195,-0.27,0.0,-0.41
21.133497953414917,-0.27,0.0,-0.42
21.144649028778076,-0.27,0.01,-0.43
21.154453992843628,-0.28,0.01,-0.44
21.16423797607422,-0.28,0.01,-0.45
21.174906969070435,-0.29,0.02,-0.46
21.18497395515442,-0.31,0.02,-0.46
21.19447612762451,-0.32,0.02,-0.46
21.205724954605103,-0.33,0.03,-0.45
21.229974031448364,-0.35,0.03,-0.42
21.231662034988403,-0.36,0.04,-0.4
21.234346866607666,-0.38,0.04,-0.38
21.24443006515503,-0.38,0.05,-0.35
21.25448989868164,-0.37,0.05,-0.33
21.26552104949951,-0.36,0.05,-0.31
21.275569915771484,-0.34,0.06,-0.29
21.28584384918213,-0.32,0.06,-0.28
21.295312881469727,-0.29,0.06,-0.26
21.306414127349854,-0.26,0.07,-0.25
21.329649925231934,-0.23,0.07,-0.24
21.331298828125,-0.21,0.07,-0.22
21.335215091705322,-0.19,0.08,-0.21
21.345090866088867,-0.17,0.08,-0.19
21.35506296157837,-0.17,0.08,-0.17
21.36659288406372,-0.16,0.09,-0.15
21.376080989837646,-0.15,0.09,-0.14
21.38637113571167,-0.15,0.09,-0.12
21.396520137786865,-0.14,0.09,-0.11
21.406545162200928,-0.14,0.1,-0.11
21.431612968444824,-0.13,0.1,-0.12
21.43336582183838,-0.13,0.1,-0.14
21.43573498725891,-0.14,0.1,-0.15
21.446696043014526,-0.15,0.1,-0.17
21.457008838653564,-0.16,0.1,-0.17
21.467041015625,-0.17,0.11,-0.17
21.477002143859863,-0.18,0.11,-0.15
21.48740816116333,-0.19,0.11,-0.13
21.49706506729126,-0.19,0.11,-0.11
21.50825786590576,-0.19,0.12,-0.08
21.526605129241943,-0.18,0.12,-0.05
21.528478145599365,-0.16,0.12,-0.02
